date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-05-31,191.44,192.57,189.91,192.25,192.25,75140140,75140140,0.81,0.42311,191.5425,"May 31, 24",0.0042311
2024-05-30,190.76,192.18,190.63,191.29,191.29,49947941,49947941,0.53,0.27784,191.215,"May 30, 24",0.0027784
2024-05-29,189.61,192.25,189.51,190.29,190.29,53068016,53068016,0.68,0.35863,190.415,"May 29, 24",0.0035863
2024-05-28,191.51,193,189.1,189.99,189.99,52280051,52280051,-1.52,-0.79369,190.9,"May 28, 24",-0.0079369
2024-05-24,188.82,190.58,188.04,189.98,189.98,36326975,36326975,1.16,0.61434,189.355,"May 24, 24",0.0061434
2024-05-23,190.98,191,186.63,186.88,186.88,51005924,51005924,-4.1,-2.15,188.8725,"May 23, 24",-0.0215
2024-05-22,192.27,192.82,190.27,190.9,190.9,34648547,34648547,-1.36,-0.71254,191.565,"May 22, 24",-0.0071254
2024-05-21,191.09,192.73,190.92,192.35,192.35,42309401,42309401,1.26,0.65938,191.7725,"May 21, 24",0.0065938
2024-05-20,189.33,191.92,189.01,191.04,191.04,44361275,44361275,1.72,0.90318,190.325,"May 20, 24",0.0090318
2024-05-17,189.51,190.81,189.18,189.87,189.87,41282925,41282925,0.36,0.18996,189.8425,"May 17, 24",0.0018996
2024-05-16,190.47,191.1,189.66,189.84,189.84,52845230,52845230,-0.63,-0.33076,190.2675,"May 16, 24",-0.0033076
2024-05-15,187.91,190.65,187.37,189.72,189.72,70399988,70399988,1.81,0.96323,188.9125,"May 15, 24",0.0096323
2024-05-14,187.51,188.3,186.29,187.43,187.43,52393619,52393619,-0.08,-0.04266439,187.3825,"May 14, 24",-0.0004266439
2024-05-13,185.44,187.1,184.62,186.28,186.28,72044809,72044809,0.845,0.45298,185.86,"May 13, 24",0.0045298
2024-05-10,184.9,185.09,182.13,183.05,183.05,50759496,50759496,-1.85,-1,183.7925,"May 10, 24",-0.01
2024-05-09,182.56,184.66,182.11,184.57,184.32,48982972,48982972,2.01,1.1,183.475,"May 09, 24",0.011
2024-05-08,182.85,183.07,181.45,182.74,182.49,45057087,45057087,-0.11,-0.0601586,182.5275,"May 08, 24",-0.000601586
2024-05-07,183.45,184.9,181.32,182.4,182.15,77305771,77305771,-1.05,-0.57236,183.0175,"May 07, 24",-0.0057236
2024-05-06,182.35,184.2,180.42,181.71,181.46,78569667,78569667,-0.644,-0.35097,182.17,"May 06, 24",-0.0035097
2024-05-03,186.65,187,182.66,183.38,183.13,163224109,163224109,-3.27,-1.75,184.9225,"May 03, 24",-0.0175
2024-05-02,172.51,173.42,170.89,173.03,172.8,94214915,94214915,0.52,0.30143,172.4625,"May 02, 24",0.0030143
2024-05-01,169.58,172.71,169.11,169.3,169.07,50383147,50383147,-0.28,-0.16511,170.175,"May 01, 24",-0.0016511
2024-04-30,173.33,174.99,170,170.33,170.1,65934776,65934776,-3,-1.73,172.1625,"April 30, 24",-0.0173
2024-04-29,173.37,176.03,173.1,173.5,173.26,68169419,68169419,0.13,0.07498414,174,"April 29, 24",0.0007498414
2024-04-26,169.88,171.34,169.18,169.3,169.07,44838354,44838354,-0.58,-0.34142,169.925,"April 26, 24",-0.0034142
2024-04-25,169.53,170.61,168.15,169.89,169.66,50558329,50558329,0.365,0.21235,169.545,"April 25, 24",0.0021235
