date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-06-14,47.14,47.39,45.93,46.77,46.77,14406862,14406862,-0.365,-0.7849,46.8075,"June 14, 24",-0.007849
2024-06-13,48.62,48.72,47.39,47.65,47.65,19451724,19451724,-0.97,-2,48.095,"June 13, 24",-0.02
2024-06-12,48.84,49.35,48.63,48.86,48.86,14222209,14222209,0.02,0.04095004,48.92,"June 12, 24",0.0004095004
2024-06-11,48.26,48.95,47.68,48.21,48.21,21186992,21186992,-0.05,-0.10361,48.275,"June 11, 24",-0.0010361
2024-06-10,45.69,47.76,45.64,47.57,47.57,18578778,18578778,1.88,4.11,46.665,"June 10, 24",0.0411
2024-06-07,45.35,46.08,45.2,45.72,45.72,10811697,10811697,0.37,0.81588,45.5875,"June 07, 24",0.0081588
2024-06-06,45.58,45.98,45.43,45.61,45.49,10169784,10169784,0.03,0.06581834,45.65,"June 06, 24",0.0006581834
2024-06-05,45.55,45.69,44.82,45.62,45.5,24724923,24724923,0.07,0.15368,45.42,"June 05, 24",0.0015368
2024-06-04,45.32,45.77,45.04,45.26,45.14,9505355,9505355,-0.06,-0.13239,45.3475,"June 04, 24",-0.0013239
2024-06-03,44.96,45.96,44.96,45.74,45.62,15698535,15698535,0.78,1.73,45.405,"June 03, 24",0.0173
2024-05-31,43.21,45.02,43,44.99,44.87,32674633,32674633,1.78,4.12,44.055,"May 31, 24",0.0412
2024-05-30,42.81,43.48,42.62,43.41,43.3,9268652,9268652,0.6,1.4,43.08,"May 30, 24",0.014
2024-05-29,42.62,42.75,42.27,42.64,42.53,13262326,13262326,0.02,0.04692633,42.57,"May 29, 24",0.0004692633
2024-05-28,43.7,43.77,42.8,43.09,42.98,13749201,13749201,-0.61,-1.4,43.34,"May 28, 24",-0.014
2024-05-24,44.07,44.32,43.87,44.11,43.99,7373009,7373009,0.04,0.09076469,44.0925,"May 24, 24",0.0009076469
2024-05-23,43.97,44.06,43.38,43.73,43.61,10643657,10643657,-0.24,-0.54583,43.785,"May 23, 24",-0.0054583
2024-05-22,44.6,44.64,43.73,43.97,43.85,11874498,11874498,-0.63,-1.41,44.235,"May 22, 24",-0.0141
2024-05-21,44.97,45.18,44.56,44.92,44.8,9910972,9910972,-0.05,-0.11119,44.9075,"May 21, 24",-0.0011119
2024-05-20,45.75,45.91,45.07,45.11,44.99,9070726,9070726,-0.64,-1.4,45.46,"May 20, 24",-0.014
2024-05-17,46.07,46.08,45.59,45.76,45.64,11412802,11412802,-0.31,-0.67289,45.875,"May 17, 24",-0.0067289
2024-05-16,45.38,46.1,45.37,45.87,45.75,11335861,11335861,0.49,1.08,45.68,"May 16, 24",0.0108
2024-05-15,45.5,45.64,45.07,45.49,45.37,11054698,11054698,-0.01,-0.02197802,45.425,"May 15, 24",-0.0002197802
