date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-06-14,175.85,178.73,175.85,178.37,178.37,11838162,11838162,2.52,1.43,177.2,"June 14, 24",0.0143
2024-06-13,177.84,178.51,176.66,176.74,176.74,15956941,15956941,-1.1,-0.61853,177.4375,"June 13, 24",-0.0061853
2024-06-12,179.75,182.08,177.78,179.56,179.56,18600421,18600421,-0.19,-0.1057,179.7925,"June 12, 24",-0.001057
2024-06-11,177.72,178.39,175.44,178.19,178.19,14402401,14402401,0.47,0.26446,177.435,"June 11, 24",0.0026446
2024-06-10,176.45,178.47,174.38,176.63,176.63,17122247,17122247,0.18,0.10201,176.4825,"June 10, 24",0.0010201
2024-06-07,178.46,179.42,175.79,175.95,175.75,14716270,14716270,-2.51,-1.41,177.405,"June 07, 24",-0.0141
2024-06-06,177.43,178.71,177.21,178.35,178.15,14255818,14255818,0.92,0.51851,177.925,"June 06, 24",0.0051851
2024-06-05,176.54,177.97,175.29,177.07,176.87,15233861,15233861,0.535,0.30022,176.7175,"June 05, 24",0.0030022
2024-06-04,174.45,175.19,173.22,175.13,174.93,14066602,14066602,0.68,0.3898,174.4975,"June 04, 24",0.003898
2024-06-03,173.88,175.86,172.45,174.42,174.22,20742798,20742798,0.54,0.31056,174.1525,"June 03, 24",0.0031056
2024-05-31,173.4,174.42,170.97,173.96,173.76,28085151,28085151,0.56,0.32295,173.1875,"May 31, 24",0.0032295
2024-05-30,176.69,176.69,173.23,173.56,173.36,18844036,18844036,-3.13,-1.77,175.0425,"May 30, 24",-0.0177
2024-05-29,176.81,178.23,176.26,177.4,177.2,15023847,15023847,0.59,0.33369,177.175,"May 29, 24",0.0033369
2024-05-28,175.74,178.51,175.68,178.02,177.82,15655340,15655340,2.28,1.3,176.9875,"May 28, 24",0.013
2024-05-24,176.52,177.3,175.2,176.33,176.13,11403560,11403560,-0.19,-0.10764,176.3375,"May 24, 24",-0.0010764
2024-05-23,178.78,179.91,174.54,175.06,174.86,14928363,14928363,-3.72,-2.08,177.0725,"May 23, 24",-0.0208
2024-05-22,178.4,178.85,176.78,178,177.8,16189404,16189404,-0.4,-0.22422,178.0075,"May 22, 24",-0.0022422
2024-05-21,178.4,179.82,177.31,179.54,179.34,14706021,14706021,1.14,0.63901,178.7675,"May 21, 24",0.0063901
2024-05-20,177.31,179.95,177.23,178.46,178.26,17495122,17495122,1.15,0.64858,178.2375,"May 20, 24",0.0064858
2024-05-17,175.55,177.5,174.98,177.29,177.09,16546353,16546353,1.74,0.99117,176.33,"May 17, 24",0.0099117
2024-05-16,174.6,176.34,174.05,175.43,175.23,17247311,17247311,0.83,0.47537,175.105,"May 16, 24",0.0047537
2024-05-15,172.3,174.05,172.03,173.88,173.68,20958245,20958245,1.58,0.91701,173.065,"May 15, 24",0.0091701
2024-05-14,171.59,172.78,170.42,171.93,171.73,18729463,18729463,0.34,0.19815,171.68,"May 14, 24",0.0019815
2024-05-13,165.85,170.95,165.76,170.9,170.71,19648585,19648585,5.05,3.04,168.365,"May 13, 24",0.0304
2024-05-10,169.69,171.34,167.91,170.29,170.1,18740458,18740458,0.6,0.35359,169.8075,"May 10, 24",0.0035359
2024-05-09,171.15,172.44,169.93,171.58,171.38,11937704,11937704,0.43,0.25124,171.275,"May 09, 24",0.0025124
2024-05-08,170.75,171.91,170.52,171.16,170.97,14569858,14569858,0.41,0.24012,171.085,"May 08, 24",0.0024012
2024-05-07,170.12,173.47,170,172.98,172.78,21102434,21102434,2.86,1.68,171.6425,"May 07, 24",0.0168
2024-05-06,169.22,169.9,167.89,169.83,169.64,15147906,15147906,0.61,0.36048,169.21,"May 06, 24",0.0036048
2024-05-03,169.54,169.85,164.98,168.99,168.8,22767056,22767056,-0.55,-0.32441,168.34,"May 03, 24",-0.0032441
2024-05-02,166.67,168.53,165.69,168.46,168.27,17041119,17041119,1.79,1.07,167.3375,"May 02, 24",0.0107
2024-05-01,166.18,168.81,164.9,165.57,165.38,25223245,25223245,-0.61,-0.36707,166.365,"May 01, 24",-0.0036707
2024-04-30,167.38,169.87,164.5,164.64,164.45,29420755,29420755,-2.74,-1.64,166.5975,"April 30, 24",-0.0164
2024-04-29,170.77,171.38,167.06,167.9,167.71,35914561,35914561,-2.87,-1.68,169.2775,"April 29, 24",-0.0168
2024-04-26,175.99,176.42,171.4,173.69,173.49,56500787,56500787,-2.3,-1.31,174.375,"April 26, 24",-0.0131
