date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-06-06,175.9,177.15,175.75,176.73,176.73,23239910,23239910,0.835,0.47186,176.3825,"June 06, 24",0.0047186
2024-06-05,175.2,176.65,173.93,175.41,175.41,22068519,22068519,0.21,0.11986,175.2975,"June 05, 24",0.0011986
2024-06-04,173.28,173.85,171.89,173.79,173.79,26879596,26879596,0.51,0.29432,173.2025,"June 04, 24",0.0029432
2024-06-03,172.54,174.53,171.16,173.17,173.17,27459118,27459118,0.63,0.36513,172.85,"June 03, 24",0.0036513
2024-05-31,171.86,173.06,169.44,172.5,172.5,37638876,37638876,0.64,0.3724,171.715,"May 31, 24",0.003724
2024-05-30,175.2,175.22,171.79,172.11,172.11,22958677,22958677,-3.09,-1.76,173.58,"May 30, 24",-0.0176
2024-05-29,175.43,176.84,174.72,175.9,175.9,23388693,23388693,0.47,0.26791,175.7225,"May 29, 24",0.0026791
2024-05-28,174.45,177.27,174.37,176.4,176.4,20572157,20572157,1.95,1.12,175.6225,"May 28, 24",0.0112
2024-05-24,174.98,175.77,173.65,174.99,174.99,16579438,16579438,0.01,0.00571494,174.8475,"May 24, 24",5.71494e-05
2024-05-23,177.07,178.25,172.95,173.55,173.55,21024935,21024935,-3.52,-1.99,175.455,"May 23, 24",-0.0199
2024-05-22,176.64,177.15,175.21,176.38,176.38,17880042,17880042,-0.264,-0.14719,176.345,"May 22, 24",-0.0014719
2024-05-21,176.9,178.15,175.81,177.85,177.85,16989369,16989369,0.95,0.53703,177.1775,"May 21, 24",0.0053703
2024-05-20,176.19,178.77,176.08,176.92,176.92,22554400,22554400,0.728,0.41433,176.99,"May 20, 24",0.0041433
2024-05-17,174.18,176.27,173.69,176.06,176.06,24479262,24479262,1.88,1.08,175.05,"May 17, 24",0.0108
2024-05-16,173.29,175.12,172.69,174.18,174.18,27867947,27867947,0.89,0.51359,173.82,"May 16, 24",0.0051359
2024-05-15,170.63,172.65,170.51,172.51,172.51,26948370,26948370,1.88,1.1,171.575,"May 15, 24",0.011
2024-05-14,169.77,171.25,168.8,170.34,170.34,25127138,25127138,0.57,0.33575,170.04,"May 14, 24",0.0033575
2024-05-13,164.26,169.28,164,169.14,169.14,31327602,31327602,4.88,2.97,166.67,"May 13, 24",0.0297
2024-05-10,168.03,169.85,166.19,168.65,168.65,29799931,29799931,0.625,0.36898,168.18,"May 10, 24",0.0036898
2024-05-09,169.39,170.69,168.18,169.96,169.96,15346700,15346700,0.57,0.3365,169.555,"May 09, 24",0.003365
2024-05-08,169,170.15,168.74,169.38,169.38,19569146,19569146,0.38,0.22485,169.3175,"May 08, 24",0.0022485
2024-05-07,168.5,171.76,168.39,171.25,171.25,28039696,28039696,2.75,1.63,169.975,"May 07, 24",0.0163
2024-05-06,167.46,168.14,166.03,168.1,168.1,21871283,21871283,0.64,0.38218,167.4325,"May 06, 24",0.0038218
2024-05-03,167.56,167.96,163.05,167.24,167.24,34662432,34662432,-0.32,-0.19098,166.4525,"May 03, 24",-0.0019098
2024-05-02,164.79,166.73,163.89,166.62,166.62,24294549,24294549,1.84,1.11,165.5075,"May 02, 24",0.0111
2024-05-01,164.3,167.12,163.09,163.86,163.86,33493151,33493151,-0.44,-0.2678,164.5925,"May 01, 24",-0.002678
2024-04-30,165.61,168.1,162.6,162.78,162.78,33562861,33562861,-2.83,-1.71,164.7725,"April 30, 24",-0.0171
2024-04-29,169.06,169.55,165.21,166.15,166.15,45610024,45610024,-2.91,-1.72,167.4925,"April 29, 24",-0.0172
