date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-06-14,145.14,145.97,144.48,145.54,145.54,4012892,4012892,0.4,0.2756,145.2825,"June 14, 24",0.002756
2024-06-13,145.07,146,143.88,145.45,145.45,6840374,6840374,0.38,0.26194,145.1,"June 13, 24",0.0026194
2024-06-12,147.06,147.21,144.78,145.41,145.41,6180493,6180493,-1.65,-1.12,146.115,"June 12, 24",-0.0112
2024-06-11,146.81,147.16,145.44,146.76,146.76,5661236,5661236,-0.05,-0.03405763,146.5425,"June 11, 24",-0.0003405763
2024-06-10,146.53,147.56,145.6,147.13,147.13,5751309,5751309,0.6,0.40947,146.705,"June 10, 24",0.0040947
2024-06-07,146.68,148.3,146.34,147.08,147.08,5111626,5111626,0.4,0.2727,147.1,"June 07, 24",0.002727
2024-06-06,145.5,147,144.66,146.42,146.42,5016301,5016301,0.92,0.6323,145.895,"June 06, 24",0.006323
2024-06-05,147.97,147.99,145.85,145.97,145.97,5891299,5891299,-2,-1.35,146.945,"June 05, 24",-0.0135
2024-06-04,147.48,148.31,146.19,147.8,147.8,8876441,8876441,0.32,0.21698,147.445,"June 04, 24",0.0021698
2024-06-03,147.25,148.9,146.77,147.74,147.74,7329241,7329241,0.49,0.33277,147.665,"June 03, 24",0.0033277
2024-05-31,145.57,147.48,145.19,146.67,146.67,14621203,14621203,1.1,0.75565,146.2275,"May 31, 24",0.0075565
2024-05-30,144.62,145.61,144.02,145.28,145.28,8491111,8491111,0.66,0.45637,144.8825,"May 30, 24",0.0045637
2024-05-29,143.82,145.42,143.71,144.44,144.44,8263810,8263810,0.62,0.43109,144.3475,"May 29, 24",0.0043109
2024-05-28,146.79,146.79,144.15,144.38,144.38,10499829,10499829,-2.41,-1.64,145.5275,"May 28, 24",-0.0164
2024-05-24,149.53,149.81,146.76,146.97,146.97,9520576,9520576,-2.56,-1.71,148.2675,"May 24, 24",-0.0171
2024-05-23,152.75,152.84,149.38,149.7,149.7,8000422,8000422,-3.05,-2,151.1675,"May 23, 24",-0.02
2024-05-22,150.84,154.08,150.32,153.5,153.5,6609788,6609788,2.66,1.76,152.185,"May 22, 24",0.0176
2024-05-21,151.78,152.59,150.79,151.24,151.24,5492354,5492354,-0.54,-0.35578,151.6,"May 21, 24",-0.0035578
2024-05-20,153.1,153.39,151.26,151.27,151.27,7742280,7742280,-1.83,-1.2,152.255,"May 20, 24",-0.012
2024-05-17,154.86,154.86,153.71,154.64,153.4,6521794,6521794,-0.22,-0.14206,154.5175,"May 17, 24",-0.0014206
2024-05-16,153,154.38,152.33,154.28,153.04,7590959,7590959,1.28,0.8366,153.4975,"May 16, 24",0.008366
