date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-06-14,502.65,507.15,500.75,504.16,504.16,9983371,9983371,1.51,0.30041,503.6775,"June 14, 24",0.0030041
2024-06-13,505.71,509.36,501.36,504.1,503.6,9954621,9954621,-1.61,-0.31836,505.1325,"June 13, 24",-0.0031836
2024-06-12,513.99,514.01,504.47,508.84,508.34,11983227,11983227,-5.15,-1,510.3275,"June 12, 24",-0.01
2024-06-11,500.16,507.6,498.27,507.47,506.97,9673715,9673715,7.31,1.46,503.375,"June 11, 24",0.0146
2024-06-10,493.86,502.66,493.41,502.6,502.1,11236919,11236919,8.74,1.77,498.1325,"June 10, 24",0.0177
2024-06-07,495.91,498.91,490.17,492.96,492.47,9380745,9380745,-2.95,-0.59487,494.4875,"June 07, 24",-0.0059487
2024-06-06,492.98,502.82,490.89,493.76,493.27,10667339,10667339,0.78,0.15822,495.1125,"June 06, 24",0.0015822
2024-06-05,484.45,496.65,483.91,495.06,494.57,15690484,15690484,10.61,2.19,490.0175,"June 05, 24",0.0219
2024-06-04,477,478.89,473.23,476.99,476.52,7088718,7088718,-0.01,-0.00209644,476.5275,"June 04, 24",-2.09644e-05
2024-06-03,470.86,479.6,468.24,477.49,477.02,11279390,11279390,6.63,1.41,474.0475,"June 03, 24",0.0141
2024-05-31,465.8,469.12,454.46,466.83,466.37,16919805,16919805,1.03,0.22112,464.0525,"May 31, 24",0.0022112
2024-05-30,471.67,471.73,464.71,467.05,466.59,10735226,10735226,-4.62,-0.9795,468.79,"May 30, 24",-0.009795
2024-05-29,474.66,479.85,473.7,474.36,473.89,9226218,9226218,-0.3,-0.06320313,475.6425,"May 29, 24",-0.0006320313
2024-05-28,476.58,480.86,474.84,479.92,479.44,10175770,10175770,3.35,0.70083,478.05,"May 28, 24",0.0070083
2024-05-24,467.62,479.85,466.3,478.22,477.75,12024254,12024254,10.6,2.27,472.9975,"May 24, 24",0.0227
2024-05-23,472.88,474.36,461.54,465.78,465.32,11747913,11747913,-7.1,-1.5,468.64,"May 23, 24",-0.015
2024-05-22,467.87,473.72,465.65,467.78,467.32,10078611,10078611,-0.09,-0.01923611,468.755,"May 22, 24",-0.0001923611
2024-05-21,467.12,470.7,462.27,464.63,464.17,11742189,11742189,-2.49,-0.53305,466.18,"May 21, 24",-0.0053305
2024-05-20,469.95,473.2,467.04,468.84,468.37,11745080,11745080,-1.11,-0.2362,469.7575,"May 20, 24",-0.002362
2024-05-17,470.83,472.8,468.42,471.91,471.44,10807289,10807289,1.08,0.22938,470.99,"May 17, 24",0.0022938
2024-05-16,475,477.69,472.75,473.23,472.76,16608179,16608179,-1.77,-0.37263,474.6675,"May 16, 24",-0.0037263
2024-05-15,474.98,482.5,471.2,481.54,481.06,13100470,13100470,6.56,1.38,477.555,"May 15, 24",0.0138
2024-05-14,463.37,472.54,460.08,471.85,471.38,10478553,10478553,8.48,1.83,466.96,"May 14, 24",0.0183
2024-05-13,472.75,473.35,462.85,468.01,467.55,14668798,14668798,-4.74,-1,469.24,"May 13, 24",-0.01
2024-05-10,477.09,477.5,469.6,476.2,475.73,10749999,10749999,-0.89,-0.18655,475.0975,"May 10, 24",-0.0018655
2024-05-09,470,476.08,467.63,475.42,474.95,9437651,9437651,5.42,1.15,472.2825,"May 09, 24",0.0115
2024-05-08,463.5,475.58,463,472.6,472.13,11683929,11683929,9.1,1.96,468.67,"May 08, 24",0.0196
2024-05-07,466.29,471.53,461.31,468.24,467.78,13406816,13406816,1.95,0.41819,466.8425,"May 07, 24",0.0041819
2024-05-06,455.58,466.16,453.34,465.68,465.22,15094627,15094627,10.1,2.22,460.19,"May 06, 24",0.0222
2024-05-03,445.93,454.17,443.85,451.96,451.51,16489057,16489057,6.03,1.35,448.9775,"May 03, 24",0.0135
2024-05-02,438.84,443.96,432.28,441.68,441.24,15221322,15221322,2.84,0.64716,439.19,"May 02, 24",0.0064716
2024-05-01,428.6,449.96,427.11,439.19,438.75,20344947,20344947,10.59,2.47,436.215,"May 01, 24",0.0247
2024-04-30,431.05,439.62,429.72,430.17,429.74,18429496,18429496,-0.88,-0.20415,432.64,"April 30, 24",-0.0020415
2024-04-29,439.56,439.76,428.56,432.62,432.19,21502646,21502646,-6.94,-1.58,435.125,"April 29, 24",-0.0158
2024-04-26,441.46,446.44,431.96,443.29,442.85,32691443,32691443,1.83,0.41453,440.7875,"April 26, 24",0.0041453
2024-04-25,421.4,445.77,414.5,441.38,440.94,82890741,82890741,19.98,4.74,430.7625,"April 25, 24",0.0474
2024-04-24,508.06,510,484.58,493.5,493.01,37772677,37772677,-14.56,-2.87,499.035,"April 24, 24",-0.0287
2024-04-23,491.25,498.76,488.97,496.1,495.61,15079196,15079196,4.85,0.98728,493.77,"April 23, 24",0.0098728
2024-04-22,489.72,492.01,473.4,481.73,481.25,17271125,17271125,-7.98,-1.63,484.215,"April 22, 24",-0.0163
2024-04-19,502.8,502.8,475.73,481.07,480.59,25215364,25215364,-21.73,-4.32,490.6,"April 19, 24",-0.0432
2024-04-18,499.82,512.21,499.04,501.8,501.3,14808670,14808670,1.98,0.39614,503.2175,"April 18, 24",0.0039614
2024-04-17,503.1,503.16,487.14,494.17,493.68,12193743,12193743,-8.93,-1.77,496.8925,"April 17, 24",-0.0177
2024-04-16,498.11,504.77,497.11,499.76,499.26,9847925,9847925,1.65,0.33125,499.9375,"April 16, 24",0.0033125
2024-04-15,516.72,518.53,497.28,500.23,499.73,13512893,13512893,-16.49,-3.19,508.19,"April 15, 24",-0.0319
2024-04-12,517.75,520.19,509.33,511.9,511.39,11984535,11984535,-5.85,-1.13,514.7925,"April 12, 24",-0.0113
2024-04-11,521.11,523.86,517.29,523.16,522.64,10369469,10369469,2.05,0.39339,521.355,"April 11, 24",0.0039339
2024-04-10,509.29,522.56,505.8,519.83,519.31,11418491,11418491,10.54,2.07,514.37,"April 10, 24",0.0207
2024-04-09,522.23,525.87,506.74,516.9,516.39,10881445,10881445,-5.33,-1.02,517.935,"April 09, 24",-0.0102
2024-04-08,529.28,531.49,518.89,519.25,518.73,13260579,13260579,-10.03,-1.9,524.7275,"April 08, 24",-0.019
2024-04-05,516.86,530.7,514.41,527.34,526.82,19263265,19263265,10.49,2.03,522.3275,"April 05, 24",0.0203
2024-04-04,516.42,530,510.58,510.92,510.41,26476253,26476253,-5.5,-1.07,516.98,"April 04, 24",-0.0107
2024-04-03,498.93,507.24,498.75,506.74,506.24,12099171,12099171,7.81,1.57,502.915,"April 03, 24",0.0157
2024-04-02,485.1,497.53,484.65,497.37,496.88,11081026,11081026,12.27,2.53,491.1625,"April 02, 24",0.0253
2024-04-01,487.2,497.43,481.78,491.35,490.86,9247007,9247007,4.15,0.85181,489.44,"April 01, 24",0.0085181
2024-03-28,492.84,492.89,485.15,485.58,485.1,15212764,15212764,-7.26,-1.47,489.115,"March 28, 24",-0.0147
2024-03-27,499.3,499.89,488.07,493.86,493.37,9989676,9989676,-5.44,-1.09,495.28,"March 27, 24",-0.0109
2024-03-26,505.13,510,495.21,495.89,495.4,11205382,11205382,-9.24,-1.83,501.5575,"March 26, 24",-0.0183
2024-03-25,505.79,507.22,500.24,503.02,502.52,8380617,8380617,-2.77,-0.54766,504.0675,"March 25, 24",-0.0054766
2024-03-22,507,509.97,504.34,509.58,509.07,8120593,8120593,2.58,0.50888,507.7225,"March 22, 24",0.0050888
2024-03-21,514.71,515.04,506.01,507.76,507.26,9712549,9712549,-6.95,-1.35,510.88,"March 21, 24",-0.0135
2024-03-20,499.5,508.2,495.17,505.52,505.02,11711100,11711100,6.02,1.21,502.0975,"March 20, 24",0.0121
2024-03-19,488.17,496.63,481.28,496.24,495.75,10903092,10903092,8.07,1.65,490.58,"March 19, 24",0.0165
2024-03-18,491.91,497.42,486.81,496.98,496.49,11755251,11755251,5.07,1.03,493.28,"March 18, 24",0.0103
2024-03-15,489.01,491.83,481.3,484.1,483.62,29153576,29153576,-4.91,-1,486.56,"March 15, 24",-0.01
2024-03-14,500.26,501.35,488.16,491.83,491.34,12620014,12620014,-8.43,-1.69,495.4,"March 14, 24",-0.0169
2024-03-13,495.39,500.98,491.03,495.57,495.08,12090656,12090656,0.18,0.03633501,495.7425,"March 13, 24",0.0003633501
2024-03-12,493.26,502.31,484.73,499.75,499.25,15448232,15448232,6.49,1.32,495.0125,"March 12, 24",0.0132
2024-03-11,497.01,497.32,476,483.59,483.11,20428274,20428274,-13.42,-2.7,488.48,"March 11, 24",-0.027
2024-03-08,514.19,523.57,499.35,505.95,505.45,18597059,18597059,-8.24,-1.6,510.765,"March 08, 24",-0.016
2024-03-07,503.28,519.85,501.38,512.19,511.68,18586437,18586437,8.91,1.77,509.175,"March 07, 24",0.0177
2024-03-06,497.63,502.97,494.29,496.09,495.6,11757925,11757925,-1.54,-0.30947,497.745,"March 06, 24",-0.0030947
2024-03-05,495,495.58,487.89,490.22,489.73,15325299,15325299,-4.78,-0.96566,492.1725,"March 05, 24",-0.0096566
2024-03-04,503,504.42,496.42,498.19,497.7,12324141,12324141,-4.81,-0.95626,500.5075,"March 04, 24",-0.0095626
2024-03-01,492.11,504.25,491.85,502.3,501.8,15884882,15884882,10.19,2.07,497.6275,"March 01, 24",0.0207
2024-02-29,488.44,491.7,482.61,490.13,489.64,17732045,17732045,1.69,0.346,488.22,"February 29, 24",0.00346
2024-02-28,485,491.05,482.75,484.02,483.54,12715486,12715486,-0.98,-0.20206,485.705,"February 28, 24",-0.0020206
2024-02-27,479.98,487.27,479.92,487.05,486.57,10809595,10809595,7.07,1.47,483.555,"February 27, 24",0.0147
2024-02-26,483.47,486.14,480.6,481.74,481.26,12101415,12101415,-1.73,-0.35783,482.9875,"February 26, 24",-0.0035783
2024-02-23,488.05,494.36,482.35,484.03,483.55,18374286,18374286,-4.02,-0.82369,487.1975,"February 23, 24",-0.0082369
2024-02-22,480.24,489.99,476.06,486.13,485.65,21625805,21625805,5.89,1.23,483.105,"February 22, 24",0.0123
2024-02-21,466.5,469,461.79,468.03,467.57,12977050,12977050,1.53,0.32797,466.33,"February 21, 24",0.0032797
2024-02-20,469.72,476.18,466.56,471.75,470.78,18015523,18015523,2.04,0.43217,471.0525,"February 20, 24",0.0043217
2024-02-16,478.11,478.96,469.21,473.32,472.35,23324620,23324620,-4.79,-1,474.9,"February 16, 24",-0.01
2024-02-15,475.28,488.62,472.22,484.03,483.04,24212326,24212326,8.75,1.84,480.0375,"February 15, 24",0.0184
