date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-06-14,438.28,443.14,436.72,442.57,442.57,13580258,13580258,4.3,0.97883,440.1775,"June 14, 24",0.0097883
2024-06-13,440.85,443.39,439.37,441.58,441.58,15960565,15960565,0.73,0.16559,441.2975,"June 13, 24",0.0016559
2024-06-12,435.32,443.4,433.25,441.06,441.06,22366233,22366233,5.74,1.32,438.2575,"June 12, 24",0.0132
2024-06-11,425.48,432.82,425.25,432.68,432.68,14551101,14551101,7.2,1.69,429.0575,"June 11, 24",0.0169
2024-06-10,424.7,428.08,423.89,427.87,427.87,14003034,14003034,3.17,0.74641,426.135,"June 10, 24",0.0074641
2024-06-07,426.2,426.28,423,423.85,423.85,13621650,13621650,-2.35,-0.55138,424.8325,"June 07, 24",-0.0055138
2024-06-06,424.01,425.31,420.58,424.52,424.52,14861251,14861251,0.51,0.12028,423.605,"June 06, 24",0.0012028
2024-06-05,417.81,424.08,416.3,424.01,424.01,16988038,16988038,6.2,1.48,420.55,"June 05, 24",0.0148
2024-06-04,412.43,416.44,409.68,416.07,416.07,14348917,14348917,3.64,0.88257,413.655,"June 04, 24",0.0088257
2024-06-03,415.53,416.43,408.92,413.52,413.52,17484675,17484675,-2,-0.48372,413.6,"June 03, 24",-0.0048372
2024-05-31,416.75,416.75,404.51,415.13,415.13,47995250,47995250,-1.62,-0.38872,413.285,"May 31, 24",-0.0038872
2024-05-30,424.3,424.3,414.24,414.67,414.67,28424847,28424847,-9.63,-2.27,419.3775,"May 30, 24",-0.0227
2024-05-29,425.69,430.94,425.69,429.17,429.17,15517130,15517130,3.48,0.8175,427.8725,"May 29, 24",0.008175
2024-05-28,429.63,430.82,426.6,430.32,430.32,15718024,15718024,0.69,0.1606,429.3425,"May 28, 24",0.001606
2024-05-24,427.19,431.06,424.41,430.16,430.16,11855285,11855285,2.97,0.69524,428.205,"May 24, 24",0.0069524
2024-05-23,432.97,433.6,425.42,427,427,17211689,17211689,-5.97,-1.38,429.7475,"May 23, 24",-0.0138
2024-05-22,430.09,432.41,427.13,430.52,430.52,18073698,18073698,0.43,0.09997907,430.0375,"May 22, 24",0.0009997907
2024-05-21,426.83,432.97,424.85,429.04,429.04,21453255,21453255,2.22,0.51777,428.4225,"May 21, 24",0.0051777
2024-05-20,420.21,426.77,419.99,425.34,425.34,16272137,16272137,5.13,1.22,423.0775,"May 20, 24",0.0122
2024-05-17,422.54,422.92,418.03,420.21,420.21,15352239,15352239,-2.33,-0.55143,420.925,"May 17, 24",-0.0055143
2024-05-16,421.8,425.42,420.35,420.99,420.99,17530050,17530050,-0.81,-0.19203,422.14,"May 16, 24",-0.0019203
2024-05-15,417.9,423.81,417.27,423.08,423.08,22239533,22239533,5.18,1.24,420.515,"May 15, 24",0.0124
2024-05-14,412.02,417.49,411.55,416.56,415.81,15109306,15109306,4.54,1.1,414.405,"May 14, 24",0.011
2024-05-13,418.01,418.35,410.82,413.72,412.98,15440226,15440226,-4.29,-1.03,415.225,"May 13, 24",-0.0103
2024-05-10,412.94,415.38,411.8,414.74,413.99,13402281,13402281,1.81,0.4359,413.715,"May 10, 24",0.004359
2024-05-09,410.57,412.72,409.1,412.32,411.58,14689727,14689727,1.75,0.42624,411.1775,"May 09, 24",0.0042624
2024-05-08,408.17,412.23,406.71,410.54,409.8,11792308,11792308,2.37,0.58064,409.4125,"May 08, 24",0.0058064
2024-05-07,414.66,414.67,409.09,409.34,408.6,20018228,20018228,-5.32,-1.28,411.94,"May 07, 24",-0.0128
2024-05-06,408.76,413.93,406.37,413.54,412.8,16996639,16996639,4.78,1.17,410.65,"May 06, 24",0.0117
2024-05-03,402.28,407.15,401.86,406.66,405.93,17446724,17446724,4.38,1.09,404.4875,"May 03, 24",0.0109
2024-05-02,397.66,399.93,394.65,397.84,397.12,17709364,17709364,0.18,0.0452648,397.52,"May 02, 24",0.000452648
2024-05-01,392.61,401.72,390.31,394.94,394.23,23562481,23562481,2.33,0.59346,394.895,"May 01, 24",0.0059346
2024-04-30,401.49,402.16,389.17,389.33,388.63,28781374,28781374,-12.16,-3.03,395.5375,"April 30, 24",-0.0303
2024-04-29,405.25,406.32,399.19,402.25,401.53,19582091,19582091,-3,-0.74028,403.2525,"April 29, 24",-0.0074028
2024-04-26,412.17,413,405.76,406.32,405.59,29694654,29694654,-5.85,-1.42,409.3125,"April 26, 24",-0.0142
2024-04-25,394.03,399.89,388.03,399.04,398.32,40586450,40586450,5.01,1.27,395.2475,"April 25, 24",0.0127
2024-04-24,409.56,412.47,406.78,409.06,408.32,15065330,15065330,-0.5,-0.12208,409.4675,"April 24, 24",-0.0012208
2024-04-23,404.24,408.2,403.06,407.57,406.84,15734501,15734501,3.33,0.82377,405.7675,"April 23, 24",0.0082377
2024-04-22,400.08,402.85,395.75,400.96,400.24,20286875,20286875,0.88,0.21996,399.91,"April 22, 24",0.0021996
2024-04-19,404.03,405.48,397.77,399.12,398.4,30565789,30565789,-4.91,-1.22,401.6,"April 19, 24",-0.0122
2024-04-18,410.63,411.89,403.95,404.27,403.54,21029917,21029917,-6.36,-1.55,407.685,"April 18, 24",-0.0155
2024-04-17,417.25,418.88,410.33,411.84,411.1,15855485,15855485,-5.41,-1.3,414.575,"April 17, 24",-0.013
2024-04-16,414.57,418.4,413.73,414.58,413.83,16765616,16765616,0.01,0.00241214,415.32,"April 16, 24",2.41214e-05
2024-04-15,426.6,426.82,413.43,413.64,412.9,20273538,20273538,-12.96,-3.04,420.1225,"April 15, 24",-0.0304
2024-04-12,424.05,425.18,419.77,421.9,421.14,19253750,19253750,-2.15,-0.50702,422.725,"April 12, 24",-0.0050702
2024-04-11,425.82,429.37,422.36,427.93,427.16,17966423,17966423,2.11,0.49551,426.37,"April 11, 24",0.0049551
2024-04-10,422.19,424.03,419.7,423.26,422.5,16216581,16216581,1.07,0.25344,422.295,"April 10, 24",0.0025344
2024-04-09,426.44,427.74,421.62,426.28,425.51,12512289,12512289,-0.16,-0.03751993,425.52,"April 09, 24",-0.0003751993
2024-04-08,425.17,427.28,423.3,424.59,423.83,14272387,14272387,-0.58,-0.13642,425.085,"April 08, 24",-0.0013642
2024-04-05,420.01,426.51,418.32,425.52,424.75,16554761,16554761,5.51,1.31,422.59,"April 05, 24",0.0131
2024-04-04,424.99,428.67,417.57,417.88,417.13,19370875,19370875,-7.11,-1.67,422.2775,"April 04, 24",-0.0167
2024-04-03,419.73,423.26,419.09,420.45,419.69,16502264,16502264,0.72,0.17154,420.6325,"April 03, 24",0.0017154
2024-04-02,420.11,422.38,417.84,421.44,420.68,17911992,17911992,1.33,0.31658,420.4425,"April 02, 24",0.0031658
2024-04-01,423.95,427.89,422.22,424.57,423.81,16315961,16315961,0.62,0.14624,424.6575,"April 01, 24",0.0014624
2024-03-28,420.96,421.87,419.12,420.72,419.96,21871161,21871161,-0.24,-0.05701254,420.6675,"March 28, 24",-0.0005701254
2024-03-27,424.44,424.45,419.01,421.43,420.67,16704978,16704978,-3.01,-0.70917,422.3325,"March 27, 24",-0.0070917
2024-03-26,425.61,425.99,421.35,421.65,420.89,16725647,16725647,-3.96,-0.93043,423.65,"March 26, 24",-0.0093043
2024-03-25,425.24,427.41,421.61,422.86,422.1,18060450,18060450,-2.38,-0.55968,424.28,"March 25, 24",-0.0055968
2024-03-22,429.7,429.86,426.07,428.74,427.97,17648473,17648473,-0.96,-0.22341,428.5925,"March 22, 24",-0.0022341
2024-03-21,429.83,430.82,427.16,429.37,428.6,21296222,21296222,-0.46,-0.10702,429.295,"March 21, 24",-0.0010702
2024-03-20,422,425.96,420.66,425.23,424.46,17860085,17860085,3.23,0.7654,423.4625,"March 20, 24",0.007654
2024-03-19,417.83,421.67,415.55,421.41,420.65,19837915,19837915,3.58,0.85681,419.115,"March 19, 24",0.0085681
2024-03-18,414.25,420.73,413.78,417.32,416.57,20105977,20105977,3.07,0.7411,416.52,"March 18, 24",0.007411
2024-03-15,419.29,422.6,412.79,416.42,415.67,45079903,45079903,-2.87,-0.68449,417.775,"March 15, 24",-0.0068449
2024-03-14,420.24,427.82,417.99,425.22,424.45,34157299,34157299,4.98,1.19,422.8175,"March 14, 24",0.0119
2024-03-13,418.1,418.18,411.45,415.1,414.35,17115931,17115931,-3,-0.71753,415.7075,"March 13, 24",-0.0071753
2024-03-12,407.62,415.57,406.79,415.28,414.53,22457003,22457003,7.66,1.88,411.315,"March 12, 24",0.0188
2024-03-11,403.76,405.68,401.26,404.52,403.79,16120752,16120752,0.758,0.18823,403.805,"March 11, 24",0.0018823
2024-03-08,407.96,410.42,404.33,406.22,405.49,18002186,18002186,-1.74,-0.42651,407.2325,"March 08, 24",-0.0042651
2024-03-07,406.12,409.78,402.24,409.14,408.4,18718479,18718479,3.02,0.74362,406.82,"March 07, 24",0.0074362
2024-03-06,402.97,405.16,398.39,402.09,401.37,22344149,22344149,-0.88,-0.21838,402.1525,"March 06, 24",-0.0021838
2024-03-05,413.96,414.25,400.64,402.65,401.93,26919177,26919177,-11.31,-2.73,407.875,"March 05, 24",-0.0273
2024-03-04,413.44,417.35,412.32,414.92,414.17,17595956,17595956,1.48,0.35797,414.5075,"March 04, 24",0.0035797
2024-03-01,411.27,415.87,410.88,415.5,414.75,17823445,17823445,4.23,1.03,413.38,"March 01, 24",0.0103
2024-02-29,408.64,414.2,405.92,413.64,412.9,31947263,31947263,5,1.22,410.6,"February 29, 24",0.0122
2024-02-28,408.18,409.3,405.32,407.72,406.99,13183125,13183125,-0.455,-0.1127,407.63,"February 28, 24",-0.001127
2024-02-27,407.99,408.32,403.85,407.48,406.75,14835827,14835827,-0.51,-0.125,406.91,"February 27, 24",-0.00125
2024-02-26,411.46,412.16,407.36,407.54,406.81,16193505,16193505,-3.91,-0.95271,409.63,"February 26, 24",-0.0095271
2024-02-23,415.67,415.86,408.97,410.34,409.6,16295879,16295879,-5.33,-1.28,412.71,"February 23, 24",-0.0128
2024-02-22,410.19,412.83,408.57,411.65,410.91,27009869,27009869,1.46,0.35593,410.81,"February 22, 24",0.0035593
