date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-06-06,1240.48,1255.87,1212.28,1212.74,1212.74,13405168,13405168,-27.74,-2.23623,1226.96,"June 06, 24",-0.0223623
2024-06-05,1183.71,1224.49,1174.68,1224.4,1224.4,52840178,52840178,40.69,3.44,1201.82,"June 05, 24",0.0344
2024-06-04,1157.16,1166,1140.45,1164.37,1164.37,40332401,40332401,7.21,0.62308,1156.995,"June 04, 24",0.0062308
2024-06-03,1136.21,1150,1120.03,1150,1150,43839176,43839176,13.79,1.21,1139.06,"June 03, 24",0.0121
2024-05-31,1125.2,1127.17,1069.4,1096.33,1096.33,61326250,61326250,-28.87,-2.57,1104.525,"May 31, 24",-0.0257
2024-05-30,1146.5,1158.19,1096.63,1105,1105,48735033,48735033,-41.5,-3.62,1126.58,"May 30, 24",-0.0362
2024-05-29,1130.5,1154.92,1109.01,1148.25,1148.25,55744193,55744193,17.75,1.57,1135.67,"May 29, 24",0.0157
2024-05-28,1102.44,1149.39,1098.83,1139.01,1139.01,65272789,65272789,36.57,3.32,1122.4175,"May 28, 24",0.0332
2024-05-24,1044.49,1064.75,1030,1064.69,1064.69,42949367,42949367,20.2,1.93,1050.9825,"May 24, 24",0.0193
2024-05-23,1020.28,1063.2,1015.2,1037.99,1037.99,83506528,83506528,17.71,1.74,1034.1675,"May 23, 24",0.0174
2024-05-22,954.59,960.2,932.49,949.5,949.5,54864799,54864799,-5.09,-0.53321,949.195,"May 22, 24",-0.0053321
2024-05-21,935.99,954,931.8,953.86,953.86,32894646,32894646,17.87,1.91,943.9125,"May 21, 24",0.0191
2024-05-20,937.5,952,934.4,947.8,947.8,31876446,31876446,10.3,1.1,942.925,"May 20, 24",0.011
2024-05-17,943.69,947.4,918.06,924.79,924.79,35969103,35969103,-18.9,-2,933.485,"May 17, 24",-0.02
2024-05-16,949.1,958.19,941.03,943.59,943.59,32395182,32395182,-5.51,-0.58055,947.9775,"May 16, 24",-0.0058055
2024-05-15,924.72,948.62,915.99,946.3,946.3,41773545,41773545,21.58,2.33,933.9075,"May 15, 24",0.0233
2024-05-14,895.99,916.51,889.34,913.56,913.56,29650708,29650708,17.57,1.96,903.85,"May 14, 24",0.0196
2024-05-13,904.78,909.98,885.29,903.99,903.99,28968017,28968017,-0.79,-0.08731404,901.01,"May 13, 24",-0.0008731404
2024-05-10,903.05,914.01,892.27,898.78,898.78,33532541,33532541,-4.26,-0.47284,902.0275,"May 10, 24",-0.0047284
2024-05-09,905.29,910.72,882.31,887.47,887.47,37801268,37801268,-17.82,-1.97,896.4475,"May 09, 24",-0.0197
2024-05-08,894.83,911.94,894.2,904.12,904.12,32572102,32572102,9.29,1.04,901.2725,"May 08, 24",0.0104
2024-05-07,910.98,917.81,890.11,905.54,905.54,43734161,43734161,-5.44,-0.59716,906.11,"May 07, 24",-0.0059716
2024-05-06,893.9,922.2,890.55,921.4,921.4,37620255,37620255,27.5,3.08,907.0125,"May 06, 24",0.0308
2024-05-03,877.89,892.81,870.4,887.89,887.89,39834072,39834072,10,1.14,882.2475,"May 03, 24",0.0114
2024-05-02,844.49,862.37,832,858.17,858.17,37789754,37789754,13.68,1.62,849.2575,"May 02, 24",0.0162
2024-05-01,850.77,860,812.55,830.41,830.41,55986317,55986317,-20.36,-2.39,838.4325,"May 01, 24",-0.0239
2024-04-30,872.4,888.19,863,864.02,864.02,36370870,36370870,-8.38,-0.96057,871.9025,"April 30, 24",-0.0096057
2024-04-29,875.95,879.92,852.66,877.57,877.57,38897076,38897076,1.62,0.18494,871.525,"April 29, 24",0.0018494
2024-04-26,838.18,883.31,833.87,877.35,877.35,55101078,55101078,39.17,4.67,858.1775,"April 26, 24",0.0467
2024-04-25,788.68,833.23,782.23,826.32,826.32,42464073,42464073,37.64,4.77,807.615,"April 25, 24",0.0477
2024-04-24,839.5,840.82,791.83,796.77,796.77,51220753,51220753,-42.73,-5.09,817.23,"April 24, 24",-0.0509
2024-04-23,807.69,827.69,802.64,824.23,824.23,43855937,43855937,16.54,2.05,815.5625,"April 23, 24",0.0205
2024-04-22,781.04,800.73,764,795.18,795.18,59634051,59634051,14.14,1.81,785.2375,"April 22, 24",0.0181
2024-04-19,831.5,843.24,756.06,762,762,87519800,87519800,-69.5,-8.36,798.2,"April 19, 24",-0.0836
2024-04-18,849.7,861.9,824.02,846.71,846.71,44726034,44726034,-2.99,-0.35189,845.5825,"April 18, 24",-0.0035189
2024-04-17,883.4,887.75,839.5,840.35,840.35,49539951,49539951,-43.05,-4.87,862.75,"April 17, 24",-0.0487
2024-04-16,864.33,881.18,860.64,874.15,874.15,37045302,37045302,9.82,1.14,870.075,"April 16, 24",0.0114
2024-04-15,890.98,906.13,859.29,860.01,860.01,44307695,44307695,-30.97,-3.48,879.1025,"April 15, 24",-0.0348
2024-04-12,896.99,901.75,875.3,881.86,881.86,42680479,42680479,-15.13,-1.69,888.975,"April 12, 24",-0.0169
2024-04-11,874.2,907.39,869.26,906.16,906.16,43163727,43163727,31.96,3.66,889.2525,"April 11, 24",0.0366
2024-04-10,839.26,874,837.09,870.39,870.39,43192853,43192853,31.13,3.71,855.185,"April 10, 24",0.0371
2024-04-09,874.42,876.35,830.22,853.54,853.54,50354735,50354735,-20.88,-2.39,858.6325,"April 09, 24",-0.0239
2024-04-08,887,888.3,867.32,871.33,871.33,28322000,28322000,-15.67,-1.77,878.4875,"April 08, 24",-0.0177
2024-04-05,868.66,884.81,859.26,880.08,880.08,39967846,39967846,11.42,1.31,873.2025,"April 05, 24",0.0131
2024-04-04,904.06,906.34,858.8,859.05,859.05,43496492,43496492,-45.01,-4.98,882.0625,"April 04, 24",-0.0498
