date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-06-06,174.6,179.73,172.73,177.94,177.94,69826180,69826180,3.34,1.91,176.25,"June 06, 24",0.0191
2024-06-05,175.35,176.15,172.13,175,175,57953756,57953756,-0.35,-0.1996,174.6575,"June 05, 24",-0.001996
2024-06-04,174.78,177.76,174,174.77,174.77,60056340,60056340,-0.005,-0.00572148,175.3275,"June 04, 24",-5.72148e-05
2024-06-03,178.13,182.64,174.49,176.29,176.29,68568920,68568920,-1.84,-1.03,177.8875,"June 03, 24",-0.0103
2024-05-31,178.5,180.32,173.82,178.08,178.08,67314602,67314602,-0.42,-0.23529,177.68,"May 31, 24",-0.0023529
2024-05-30,178.58,182.67,175.38,178.79,178.79,77784755,77784755,0.215,0.11759,178.855,"May 30, 24",0.0011759
2024-05-29,174.19,178.15,173.93,176.19,176.19,54782649,54782649,2,1.15,175.615,"May 29, 24",0.0115
2024-05-28,176.4,178.25,173.16,176.75,176.75,59736620,59736620,0.35,0.19841,176.14,"May 28, 24",0.0019841
2024-05-24,174.84,180.08,173.73,179.24,179.24,65584478,65584478,4.41,2.52,176.9725,"May 24, 24",0.0252
2024-05-23,181.8,181.9,173.26,173.74,173.74,71975496,71975496,-8.06,-4.43,177.675,"May 23, 24",-0.0443
2024-05-22,182.85,183.8,178.12,180.11,180.11,88313477,88313477,-2.74,-1.5,181.22,"May 22, 24",-0.015
2024-05-21,175.51,186.88,174.71,186.6,186.6,115266512,115266512,11.09,6.32,180.925,"May 21, 24",0.0632
2024-05-20,177.56,177.75,173.52,174.95,174.95,61727425,61727425,-2.61,-1.47,175.945,"May 20, 24",-0.0147
2024-05-17,173.55,179.63,172.75,177.46,177.46,77445845,77445845,3.91,2.25,175.8475,"May 17, 24",0.0225
2024-05-16,174.1,175.79,171.43,174.84,174.84,59812220,59812220,0.74,0.42504,174.04,"May 16, 24",0.0042504
2024-05-15,179.9,180,173.11,173.99,173.99,79662993,79662993,-5.91,-3.29,176.75,"May 15, 24",-0.0329
2024-05-14,174.5,179.49,174.07,177.55,177.55,86407422,86407422,3.05,1.75,176.4025,"May 14, 24",0.0175
2024-05-13,170,175.4,169,171.89,171.89,67018903,67018903,1.89,1.11,171.5725,"May 13, 24",0.0111
2024-05-10,173.05,173.06,167.75,168.47,168.47,72627178,72627178,-4.58,-2.65,170.5825,"May 10, 24",-0.0265
2024-05-09,175.01,175.62,171.37,171.97,171.97,65950292,65950292,-3.04,-1.74,173.4925,"May 09, 24",-0.0174
2024-05-08,171.59,176.06,170.15,174.72,174.72,79969488,79969488,3.13,1.82,173.13,"May 08, 24",0.0182
2024-05-07,182.4,183.26,177.4,177.81,177.81,75045854,75045854,-4.59,-2.52,180.2175,"May 07, 24",-0.0252
2024-05-06,183.8,187.56,182.2,184.76,184.76,84390253,84390253,0.96,0.52231,184.58,"May 06, 24",0.0052231
2024-05-03,182.1,184.78,178.42,181.19,181.19,75491539,75491539,-0.91,-0.49973,181.6225,"May 03, 24",-0.0049973
2024-05-02,182.86,184.6,176.02,180.01,180.01,89148041,89148041,-2.85,-1.56,180.8725,"May 02, 24",-0.0156
2024-05-01,182,185.86,179.01,179.99,179.99,92829719,92829719,-2.01,-1.1,181.715,"May 01, 24",-0.011
2024-04-30,186.98,190.95,182.84,183.28,183.28,127031787,127031787,-3.7,-1.98,186.0125,"April 30, 24",-0.0198
2024-04-29,188.42,198.87,184.54,194.05,194.05,243869678,243869678,5.63,2.99,191.47,"April 29, 24",0.0299
2024-04-26,168.85,172.12,166.37,168.29,168.29,109815725,109815725,-0.56,-0.33166,168.9075,"April 26, 24",-0.0033166
