date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-06-14,496.83,497.85,491.73,497.12,497.12,3188374,3188374,0.29,0.05837007,495.8825,"June 14, 24",0.0005837007
2024-06-13,490.28,502,484.38,497.3,497.3,4951694,4951694,7.02,1.43,493.49,"June 13, 24",0.0143
2024-06-12,500,500,487.42,493.07,493.07,4048214,4048214,-6.93,-1.39,495.1225,"June 12, 24",-0.0139
2024-06-11,490.86,497.78,490.29,496.22,496.22,4599726,4599726,5.36,1.09,493.7875,"June 11, 24",0.0109
2024-06-10,491,495.39,486.19,495,495,3332892,3332892,4,0.81466,491.895,"June 10, 24",0.0081466
2024-06-07,502.04,502.86,490.42,490.69,490.69,3416349,3416349,-11.35,-2.26,496.5025,"June 07, 24",-0.0226
2024-06-06,503.65,504.7,497.28,501.92,501.92,2419608,2419608,-1.73,-0.34349,501.8875,"June 06, 24",-0.0034349
2024-06-05,508.7,509.1,498.8,503.12,503.12,2464359,2464359,-5.58,-1.1,504.93,"June 05, 24",-0.011
2024-06-04,498.56,508.27,494.59,505.49,505.49,3178436,3178436,6.93,1.39,501.7275,"June 04, 24",0.0139
2024-06-03,494.13,498.68,493.07,497.44,497.44,2795265,2795265,3.31,0.66986,495.83,"June 03, 24",0.0066986
2024-05-31,482.41,498.41,482.41,495.37,495.37,6694985,6694985,12.96,2.69,489.65,"May 31, 24",0.0269
2024-05-30,482.32,486.03,478,481.65,481.65,5170507,5170507,-0.67,-0.13891,482,"May 30, 24",-0.0013891
2024-05-29,492.34,493.9,473.27,484.72,484.72,7521587,7521587,-7.62,-1.55,486.0575,"May 29, 24",-0.0155
2024-05-28,506.65,506.65,501.9,503.68,503.68,2912992,2912992,-2.97,-0.5862,504.72,"May 28, 24",-0.005862
2024-05-24,516.11,517.14,507.52,508.17,508.17,2528228,2528228,-7.94,-1.54,512.235,"May 24, 24",-0.0154
2024-05-23,518.32,520.23,515.23,516.83,516.83,3055555,3055555,-1.49,-0.28747,517.6525,"May 23, 24",-0.0028747
2024-05-22,522.82,526.28,520.65,521.35,521.35,2299273,2299273,-1.47,-0.28117,522.775,"May 22, 24",-0.0028117
2024-05-21,518.32,524.72,515.92,523.55,523.55,2521986,2521986,5.23,1.01,520.6275,"May 21, 24",0.0101
2024-05-20,524.63,524.63,516.54,517.23,517.23,2476393,2476393,-7.4,-1.41,520.7575,"May 20, 24",-0.0141
2024-05-17,522.94,525.85,520.01,524.63,524.63,2657396,2657396,1.69,0.32317,523.3575,"May 17, 24",0.0032317
2024-05-16,520,528.16,519.51,521.27,521.27,3655775,3655775,1.27,0.24423,522.235,"May 16, 24",0.0024423
2024-05-15,514.83,522.59,514.83,517.55,517.55,2981351,2981351,2.72,0.52833,517.45,"May 15, 24",0.0052833
2024-05-14,514.58,516.17,507.3,513.88,513.88,2949795,2949795,-0.7,-0.13603,512.9825,"May 14, 24",-0.0013603
2024-05-13,512.05,514.67,507.31,511.74,511.74,2454689,2454689,-0.31,-0.06054096,511.4425,"May 13, 24",-0.0006054096
2024-05-10,509,513.58,507,512.81,512.81,2784585,2784585,3.81,0.74853,510.5975,"May 10, 24",0.0074853
2024-05-09,502.14,507.97,502.14,507.03,507.03,2343066,2343066,4.89,0.97383,504.82,"May 09, 24",0.0097383
2024-05-08,504.17,507,500.08,503.21,503.21,3079031,3079031,-0.96,-0.19041,503.615,"May 08, 24",-0.0019041
2024-05-07,496,501.65,495.04,500.96,500.96,3752131,3752131,4.96,1,498.4125,"May 07, 24",0.01
2024-05-06,492.48,494.87,492,494.38,494.38,2029503,2029503,1.9,0.3858,493.4325,"May 06, 24",0.003858
2024-05-03,490.86,492.79,485.78,492.45,492.45,2487811,2487811,1.59,0.32392,490.47,"May 03, 24",0.0032392
2024-05-02,484.28,493.69,483.94,492.97,492.97,3561404,3561404,8.69,1.79,488.72,"May 02, 24",0.0179
2024-05-01,479.26,489.19,477.07,484.11,484.11,2729234,2729234,4.85,1.01,482.4075,"May 01, 24",0.0101
2024-04-30,488.96,489.71,482.59,483.7,483.7,3367521,3367521,-5.26,-1.08,486.24,"April 30, 24",-0.0108
2024-04-29,495.71,497.35,487.77,489.03,489.03,2192838,2192838,-6.68,-1.35,492.465,"April 29, 24",-0.0135
2024-04-26,492,497.23,491.4,495.35,495.35,2727016,2727016,3.35,0.68089,493.995,"April 26, 24",0.0068089
2024-04-25,488.96,497.13,487.53,493.86,493.86,4329652,4329652,4.9,1,491.87,"April 25, 24",0.01
2024-04-24,483.78,488.86,480.71,487.3,487.3,3724418,3724418,3.52,0.7276,485.1625,"April 24, 24",0.007276
2024-04-23,491,494.31,484.97,486.18,486.18,3646662,3646662,-4.82,-0.98167,489.115,"April 23, 24",-0.0098167
2024-04-22,497.78,499.42,490.64,491.23,491.23,4697677,4697677,-6.55,-1.32,494.7675,"April 22, 24",-0.0132
2024-04-19,497,507.3,495.56,501.13,501.13,6618600,6618600,4.13,0.83099,500.2475,"April 19, 24",0.0083099
2024-04-18,486.13,502,485.97,493.18,493.18,8880448,8880448,7.05,1.45,491.82,"April 18, 24",0.0145
2024-04-17,478.6,488,474.59,478.99,478.99,8759779,8759779,0.39,0.08148767,480.045,"April 17, 24",0.0008148767
2024-04-16,476.77,479.75,465.6,468.89,468.89,11816517,11816517,-7.88,-1.65,472.7525,"April 16, 24",-0.0165
2024-04-15,442,448.35,441.99,445.63,445.63,5376771,5376771,3.63,0.82127,444.4925,"April 15, 24",0.0082127
2024-04-12,440.34,442.24,436.38,439.2,439.2,6045671,6045671,-1.13,-0.25889,439.54,"April 12, 24",-0.0025889
2024-04-11,450.39,450.77,441.48,441.72,441.72,5844125,5844125,-8.67,-1.92,446.09,"April 11, 24",-0.0192
2024-04-10,455.49,458.74,449.78,450.05,450.05,4493483,4493483,-5.44,-1.19,453.515,"April 10, 24",-0.0119
2024-04-09,454.28,459.76,452.46,459.72,459.72,3521731,3521731,5.44,1.2,456.555,"April 09, 24",0.012
2024-04-08,455.97,457.2,453.59,456,456,4532254,4532254,0.03,0.00657938,455.69,"April 08, 24",6.57938e-05
2024-04-05,450.69,457.75,450.01,455.74,455.74,5747375,5747375,5.06,1.12,453.5475,"April 05, 24",0.0112
2024-04-04,460.82,461.72,451.92,455.38,455.38,5182046,5182046,-5.44,-1.18,457.46,"April 04, 24",-0.0118
2024-04-03,462,462.85,455.55,459.74,459.74,4460400,4460400,-2.26,-0.48918,460.035,"April 03, 24",-0.0048918
2024-04-02,459.6,463.68,449.6,458.14,458.14,11867018,11867018,-1.46,-0.31767,457.755,"April 02, 24",-0.0031767
2024-04-01,494.47,495.78,488.7,489.7,489.7,2928707,2928707,-4.77,-0.96467,492.1625,"April 01, 24",-0.0096467
2024-03-28,495,495.87,489.3,494.7,494.7,3820008,3820008,-0.3,-0.06060606,493.7175,"March 28, 24",-0.0006060606
2024-03-27,493.7,495.73,491.31,493.1,493.1,2653185,2653185,-0.6,-0.12153,493.46,"March 27, 24",-0.0012153
2024-03-26,488.13,493.34,485.23,492.31,492.31,3113314,3113314,4.18,0.85633,489.7525,"March 26, 24",0.0085633
2024-03-25,490.6,491.48,484.07,485.88,485.88,2786141,2786141,-4.72,-0.96209,488.0075,"March 25, 24",-0.0096209
2024-03-22,495.2,495.83,489.77,490.07,490.07,2847269,2847269,-5.13,-1.04,492.7175,"March 22, 24",-0.0104
2024-03-21,492.28,496.2,491.28,491.69,491.69,3693408,3693408,-0.59,-0.11985,492.8625,"March 21, 24",-0.0011985
2024-03-20,492.47,494.6,489.44,494.23,494.23,3548160,3548160,1.76,0.35738,492.685,"March 20, 24",0.0035738
2024-03-19,489.67,493.44,487.79,493.32,493.32,2511743,2511743,3.65,0.7454,491.055,"March 19, 24",0.007454
2024-03-18,492.1,492.1,486.38,487.05,487.05,2970640,2970640,-5.05,-1.03,489.4075,"March 18, 24",-0.0103
2024-03-15,487.45,491.22,487.45,490.82,490.82,5713536,5713536,3.37,0.69135,489.235,"March 15, 24",0.0069135
2024-03-14,488.72,489.68,485.19,489,489,3378538,3378538,0.28,0.05729252,488.1475,"March 14, 24",0.0005729252
2024-03-13,493.52,496,485.33,488,488,3669036,3669036,-5.52,-1.12,490.7125,"March 13, 24",-0.0112
2024-03-12,488.13,492.28,487.35,489.35,489.35,4153799,4153799,1.22,0.24993,489.2775,"March 12, 24",0.0024993
2024-03-11,477,490.31,476,489.15,489.15,4410088,4410088,12.15,2.55,483.115,"March 11, 24",0.0255
2024-03-08,478.33,484.25,474.77,476.57,476.57,4673567,4673567,-1.76,-0.36795,478.48,"March 08, 24",-0.0036795
2024-03-07,474,481.19,473.6,478.78,476.9,5102043,5102043,4.78,1.01,476.8925,"March 07, 24",0.0101
2024-03-06,474.44,479.8,468.19,472.6,470.74,5577493,5577493,-1.84,-0.38783,473.7575,"March 06, 24",-0.0038783
2024-03-05,482.39,482.9,470.62,473.15,471.29,5296200,5296200,-9.24,-1.92,477.265,"March 05, 24",-0.0192
2024-03-04,483.24,487.04,480.1,481.87,479.98,5239810,5239810,-1.37,-0.2835,483.0625,"March 04, 24",-0.002835
2024-03-01,489.42,490.02,477.25,489.53,487.61,7315039,7315039,0.11,0.02247558,486.555,"March 01, 24",0.0002247558
2024-02-29,498.5,501.75,491.6,493.6,491.66,6833167,6833167,-4.9,-0.98295,496.3625,"February 29, 24",-0.0098295
2024-02-28,495.44,498.55,484.39,498.28,496.32,9558553,9558553,2.84,0.57323,494.165,"February 28, 24",0.0057323
2024-02-27,524.76,525.59,512.05,513.42,511.4,3780619,3780619,-11.34,-2.16,518.955,"February 27, 24",-0.0216
2024-02-26,528.32,532.81,524.31,525.32,523.26,2308927,2308927,-3,-0.56784,527.69,"February 26, 24",-0.0056784
2024-02-23,526.75,530.5,524.16,527.24,525.17,2502146,2502146,0.49,0.09302326,527.1625,"February 23, 24",0.0009302326
2024-02-22,524.2,526.74,518.59,526.5,524.43,3186819,3186819,2.3,0.43876,524.0075,"February 22, 24",0.0043876
2024-02-21,523.67,523.69,517.54,521.97,519.92,2096023,2096023,-1.7,-0.32463,521.7175,"February 21, 24",-0.0032463
2024-02-20,524.21,525.37,519.41,521.06,519.01,2600288,2600288,-3.15,-0.6009,522.5125,"February 20, 24",-0.006009
2024-02-16,522.3,523.79,518.89,521.55,519.5,2135586,2135586,-0.75,-0.1436,521.6325,"February 16, 24",-0.001436
2024-02-15,517.34,521.75,515.8,520.88,518.83,2292306,2292306,3.54,0.68427,518.9425,"February 15, 24",0.0068427
