date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-06-14,270.1,271.55,269.27,270.66,270.66,3219242,3219242,0.56,0.20733,270.395,"June 14, 24",0.0020733
2024-06-13,270.32,271.86,269.32,271.19,271.19,7361158,7361158,0.87,0.32184,270.6725,"June 13, 24",0.0032184
2024-06-12,276.77,277.6,269.9,270.32,270.32,7536636,7536636,-6.45,-2.33,273.6475,"June 12, 24",-0.0233
2024-06-11,274.54,274.86,272.22,274.67,274.67,6244586,6244586,0.13,0.04735193,274.0725,"June 11, 24",0.0004735193
2024-06-10,278.14,278.56,273.38,275.04,275.04,5214002,5214002,-3.1,-1.11,276.28,"June 10, 24",-0.0111
2024-06-07,277.71,280.33,276.86,278.67,278.67,4515795,4515795,0.96,0.34568,278.3925,"June 07, 24",0.0034568
2024-06-06,274.8,277.15,274.08,277.04,277.04,4862378,4862378,2.24,0.81514,275.7675,"June 06, 24",0.0081514
2024-06-05,273.53,274.93,272.02,274.5,274.5,5368674,5368674,0.97,0.35462,273.745,"June 05, 24",0.0035462
2024-06-04,269.63,272.99,269.31,272.42,272.42,4188515,4188515,2.79,1.03,271.0875,"June 04, 24",0.0103
2024-06-03,273.09,273.13,268.06,270.38,270.38,4838782,4838782,-2.71,-0.99235,271.165,"June 03, 24",-0.0099235
2024-05-31,271.44,272.76,269.01,272.46,272.46,8909985,8909985,1.02,0.37577,271.4175,"May 31, 24",0.0037577
2024-05-30,268.7,271.64,268.31,271.3,271.3,4903071,4903071,2.6,0.96762,269.9875,"May 30, 24",0.0096762
2024-05-29,269,271.14,268.26,268.86,268.86,5469713,5469713,-0.14,-0.05204461,269.315,"May 29, 24",-0.0005204461
2024-05-28,274.23,274.46,270.23,270.98,270.98,6212455,6212455,-3.25,-1.19,272.475,"May 28, 24",-0.0119
2024-05-24,275.01,275.24,273.35,274.49,274.49,4339967,4339967,-0.52,-0.18908,274.5225,"May 24, 24",-0.0018908
2024-05-23,275.24,277.44,273.03,274.23,274.23,6115917,6115917,-1.01,-0.36695,274.985,"May 23, 24",-0.0036695
2024-05-22,275.53,278.08,275.12,275.58,275.58,4202492,4202492,0.05,0.01814684,276.0775,"May 22, 24",0.0001814684
2024-05-21,278,278.43,274.88,275.95,275.95,6578156,6578156,-2.05,-0.73741,276.815,"May 21, 24",-0.0073741
2024-05-20,279.22,280.27,278.18,278.54,278.54,5460901,5460901,-0.68,-0.24354,279.0525,"May 20, 24",-0.0024354
2024-05-17,280.05,280.91,278.1,280.1,280.1,6177831,6177831,0.05,0.01785395,279.79,"May 17, 24",0.0001785395
2024-05-16,281.74,282.38,279.26,279.84,279.84,10341718,10341718,-1.9,-0.67438,280.805,"May 16, 24",-0.0067438
2024-05-15,277.15,281.73,277.07,281.5,280.98,21288365,21288365,4.35,1.57,279.3625,"May 15, 24",0.0157
2024-05-14,279.44,279.99,274.27,277.74,277.23,18526094,18526094,-1.7,-0.60836,277.86,"May 14, 24",-0.0060836
2024-05-13,281.46,282.15,279.1,279.39,278.87,10528397,10528397,-2.07,-0.73545,280.525,"May 13, 24",-0.0073545
2024-05-10,279.55,281.03,279.24,280.74,280.22,8986581,8986581,1.19,0.42568,280.14,"May 10, 24",0.0042568
2024-05-09,276.8,278.79,276.4,278.54,278.03,8948813,8948813,1.74,0.62861,277.6325,"May 09, 24",0.0062861
2024-05-08,277.8,278.55,274.92,277.19,276.68,9029699,9029699,-0.61,-0.21958,277.115,"May 08, 24",-0.0021958
2024-05-07,273.72,277.88,272.83,276.46,275.95,6377080,6377080,2.74,1,275.2225,"May 07, 24",0.01
2024-05-06,269.65,272.78,269.57,272.67,272.17,3958721,3958721,3.02,1.12,271.1675,"May 06, 24",0.0112
2024-05-03,269,269.45,266.5,268.49,267.99,3862018,3862018,-0.51,-0.18959,268.36,"May 03, 24",-0.0018959
2024-05-02,269.35,269.47,266.65,267.61,267.12,5061698,5061698,-1.74,-0.646,268.27,"May 02, 24",-0.00646
