NVDA,TSLA,AAPL,AMD,GOOGL
0.24032,1.59,7.73,7.48,11.35
0.23413,1.59,7.59,7.32,11.12
0.23803,1.46,7.5,7.39,10.99
0.23505,1.28,7.46,7.17,10.91
0.23253,1.07,7.51,7.04,10.9
0.24376,1.05,7.81,7.39,11.25
0.23643,1.16,7.79,7.37,11.41
0.23734,1.16,7.84,7.34,11.69
0.2417,1.14,7.77,7.36,11.89
0.25041,1.21,7.6,7.52,12.23
0.25294,1.32,7.63,7.44,12.28
0.24583,1.33,7.59,7.41,12.35
0.23046,1.38,7.55,7.37,11.49
0.23987,1.46,7.42,7.44,11.65
0.24583,1.35,7.61,7.6,12.04
0.2378,1.35,7.68,7.4,11.94
0.2417,1.4,7.82,7.61,12.12
0.23757,1.42,7.85,7.82,12.25
0.24193,1.4,7.83,8.07,12.22
0.23987,1.37,7.97,8.21,12.31
0.2323,1.38,7.88,7.98,12.11
0.20937,1.36,7.79,7.78,12.12
0.21074,1.33,7.77,7.49,12.12
0.21051,1.39,7.91,7.65,12.26
0.20501,1.46,7.91,7.51,12.24
0.21372,1.42,7.94,7.52,12.66
0.21648,1.36,7.9,7.5,12.7
0.219,1.31,7.85,7.45,12.5
0.22106,1.31,7.9,7.42,12.63
0.21195,1.27,7.83,6.83,12.59
0.20369,1.19,7.55,6.49,12.29
0.20549,1.17,7.6,6.57,12.3
0.21533,1.22,7.52,6.49,12.16
0.20982,1.25,7.48,6.62,12.14
0.21258,1.28,7.61,6.63,12.26
0.21372,1.25,7.64,6.57,12.05
0.22657,1.25,7.55,6.42,11.7
0.22863,1.27,7.54,6.25,11.55
0.22519,1.34,7.42,6.14,11.6
0.2229,1.28,7.24,5.99,11.28
0.22748,1.33,7.33,6.13,11.36
0.22473,1.32,7.26,5.87,11.27
0.23207,1.31,7.3,6.08,11.47
0.22106,1.32,7.32,5.78,11.32
0.21384,1.3,7.34,5.61,11.25
0.21558,1.36,7.56,5.76,11.51
0.21946,1.4,7.61,5.93,11.58
0.227,1.4,7.81,6.09,11.76
0.22909,1.37,7.78,5.95,11.61
0.23665,1.39,7.94,5.83,11.76
0.23344,1.38,7.94,5.86,11.9
0.23092,1.34,7.95,5.81,11.9
0.24399,1.38,8.06,6.18,12.05
0.2417,1.41,8.09,6.27,12.01
0.24216,1.47,8.16,6.22,12.01
0.24227,1.4,8.35,6.15,12.02
0.24193,1.35,8.31,6.12,12.25
0.2456,1.4,8.55,6.09,12.7
0.2589,1.38,8.57,6.17,12.83
0.26119,1.32,8.69,6.26,12.9
0.26647,1.3,8.72,6.4,12.83
0.28114,1.34,8.83,6.84,13.18
0.27507,1.37,8.79,7.02,13.26
0.27452,1.43,8.66,6.95,13.18
0.27243,1.47,8.68,7.28,13.19
0.26789,1.36,8.57,7.11,13.14
0.26027,1.37,8.53,7.05,13.14
0.25775,1.4,8.41,6.94,13.06
0.25959,1.41,8.72,6.98,13.45
0.2472,1.36,8.73,6.86,13.36
0.24537,1.36,8.73,6.87,13.25
0.24904,1.36,8.88,7.05,13.41
0.24789,1.35,8.92,7.24,13.47
0.25259,1.35,9.01,7.3,13.53
0.26005,1.37,9.06,7.22,13.58
0.25592,1.38,9.13,7.14,13.52
0.25889,1.37,9.5,7.12,15.03
0.2605,1.35,9.6,6.96,15.44
0.25884,1.34,9.34,6.95,15.19
0.2589,1.38,9.38,6.82,15.2
0.25431,1.38,9.35,6.89,15.3
0.27059,1.38,9.28,6.89,15.31
0.27312,1.39,9.33,7.26,15.41
0.2722,1.42,9.3,7.2,15.46
0.2761,1.4,9.29,7.35,15.41
0.27633,1.41,9.22,7.63,15.46
0.27565,1.46,9.09,7.34,15.34
0.2761,1.43,9.18,7.36,15.37
0.28172,1.42,9.34,7.54,15.39
0.28389,1.45,9.44,7.64,15.5
0.28435,1.66,9.61,8.0,15.6
0.28905,1.63,9.58,8.04,15.62
0.29026,1.67,9.62,8.14,15.67
0.28871,1.64,9.54,7.91,15.62
0.29215,1.96,9.6,7.75,15.57
0.28919,1.87,9.56,7.63,15.43
0.30407,1.99,9.3,7.63,15.08
0.30042,2.05,9.27,7.57,14.88
0.29152,1.98,9.11,7.43,14.59
0.29628,1.97,9.07,7.33,14.59
0.30545,1.99,9.31,7.35,14.91
0.31536,2.07,9.26,7.47,14.77
0.31554,2.23,9.46,7.41,14.78
0.3082,2.3,9.32,7.32,14.57
0.31577,2.36,9.51,7.62,14.87
0.31279,2.35,9.53,7.55,14.75
0.31531,2.29,9.57,7.38,14.55
0.31208,2.36,9.4,7.29,13.89
0.32586,2.29,9.55,7.51,14.11
0.32976,2.16,9.61,7.54,14.29
0.33916,2.1,9.59,7.65,14.32
0.3328,2.02,9.67,7.82,14.46
0.34352,2.1,9.61,8.02,14.68
0.3465,2.16,9.69,8.17,14.76
0.34082,2.14,9.65,7.95,14.78
0.34277,2.1,9.68,8.07,14.8
0.33408,2.04,9.71,8.23,14.86
0.33463,1.9,9.67,8.05,14.87
0.32724,1.97,9.67,8.02,14.75
0.32764,2.05,9.7,8.03,14.79
0.32953,2.09,9.68,8.1,14.77
0.32815,2.11,9.73,8.24,14.87
0.34099,2.15,9.79,8.14,15.07
0.34466,2.18,9.82,8.11,15.13
0.34214,2.01,9.77,8.04,15.1
0.34398,1.7,9.8,8.05,15.06
0.3426,1.76,9.83,8.09,14.97
0.3426,1.85,9.82,8.08,15.02
0.34375,1.77,9.77,8.14,14.97
0.35315,1.78,9.74,8.18,14.85
0.36278,1.77,9.95,8.47,15.11
0.36163,1.78,10.0,8.77,15.05
0.38938,1.79,10.09,8.91,15.22
0.44327,1.86,10.08,8.69,15.33
0.45565,1.88,10.15,8.83,15.41
0.4731,1.9,10.34,9.19,15.35
0.46574,1.8,10.32,8.36,15.4
0.53551,1.8,10.4,8.39,15.42
0.53637,1.75,10.44,8.26,15.41
0.54096,1.72,10.52,8.2,15.6
0.52823,1.71,10.29,8.1,15.99
0.5139,1.6,10.23,7.93,15.79
0.51433,1.51,10.05,8.02,15.67
0.50952,1.54,9.87,7.54,15.29
0.5671,1.63,10.19,7.68,15.27
0.54967,1.65,10.31,7.48,15.49
0.56274,1.65,10.38,7.49,15.41
0.56116,1.66,10.36,7.75,15.42
0.54486,1.6,10.15,7.49,15.02
0.54853,1.61,10.25,7.83,15.01
0.56114,1.59,10.42,8.22,15.27
0.58659,1.6,10.4,8.29,15.3
0.57547,1.58,10.37,8.33,15.25
0.58866,1.56,10.46,8.4,15.27
0.56414,1.54,10.62,8.33,15.35
0.54742,1.63,10.73,8.24,15.46
0.53408,1.55,10.81,8.23,15.41
0.5233,1.55,10.71,8.22,15.41
0.53821,1.55,10.77,8.28,15.61
0.52995,1.54,10.85,8.63,15.7
0.51711,1.52,10.87,8.6,15.6
0.53614,1.65,10.96,8.99,15.6
0.58889,1.57,10.82,9.44,15.63
0.58774,1.55,10.59,9.18,15.75
0.53224,1.46,10.22,8.85,15.25
0.50702,1.46,10.35,8.55,15.28
0.5194,1.5,10.35,9.1,15.22
0.53018,1.57,10.51,9.29,15.25
0.51963,1.59,10.67,9.21,15.33
0.49647,1.6,10.55,9.03,15.02
0.47583,1.6,10.63,9.17,15.02
0.47858,1.62,10.86,9.28,15.24
0.47595,1.66,10.87,9.23,15.01
0.46941,1.66,10.73,8.84,14.79
0.44831,1.64,10.74,8.99,14.81
0.43891,1.65,10.64,8.67,14.79
0.41094,1.6,10.47,8.42,14.5
0.41392,1.6,10.63,8.65,14.42
0.41736,1.55,10.68,8.43,14.25
0.40497,1.53,10.43,8.28,14.24
0.40199,1.52,9.96,8.12,13.93
0.40956,1.52,10.1,8.31,14.03
0.40406,1.53,9.98,8.55,14.02
0.40727,1.52,10.25,8.55,14.41
0.40004,1.48,10.3,8.36,14.43
0.40841,1.48,10.24,8.59,14.55
0.44098,1.49,10.42,8.83,14.67
0.42722,1.52,10.61,8.88,14.49
0.44304,1.55,10.58,8.69,14.38
0.4396,1.59,10.6,8.68,14.54
0.42309,1.58,10.53,8.79,14.54
0.42332,1.85,10.52,8.6,14.67
